Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,21.7,30.7,14.9,1010.8,62,0,1.6,1.7,7.6
2,22.9,31,15.5,1009,58,0,2.3,3.9,14.8
3,24.1,32.3,16.6,1006.9,53,0,2.1,2,9.4
7,21.8,29.4,14.7,1012.3,53,0,2.6,7.6,22.2
8,22.6,31.6,13.3,1013.2,57,0,2.3,3.1,14.8
9,23.4,32.2,14.8,1013.1,52,0,1.8,3.5,11.1
13,25.9,35.6,17.1,1008.9,45,0,2.3,2.8,11.1
14,24.8,36.2,17,1007.1,47,0,2.7,1.9,9.4
15,25,34.1,17.2,1007.8,51,0,2.6,11.3,27.8
19,24.6,34.4,15,1012.9,44,0,2.3,4.4,14.8
20,26.1,35,16.5,1009.2,45,0,2.6,2.2,5.4
21,26.1,35,21,1007.8,53,0,2.6,5.6,14.8
25,25.7,32.3,18.5,1013.6,49,0,1.9,8.7,22.2
26,26.3,33.6,19.5,1011,44,0,2.6,9.1,22.2
27,27.1,36.8,17.3,1007.9,38,0,3.2,4.6,14.8
31,26.9,36.2,20,1007.6,51,0,2.9,9.1,14.8
