Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,18.7,27.2,11,1013.9,69,0,1.4,3,13
2,17.7,27.8,10.5,1012.7,69,0,1.6,3.7,14.8
3,16,26.5,9.3,1015.4,57,0,1.4,4.4,13
7,15,23.6,8.5,1014.6,55,0,1.4,7.4,22.2
8,13.9,24.1,5.5,1013.8,61,0,1.6,1.7,9.4
9,14.6,24,6.1,1014.4,59,0,1.3,2.2,7.6
13,16.4,23.4,9,1022.5,75,0,1.6,5.2,14.8
14,16.4,23.5,10.2,1021.6,63,0,1.8,11.1,25.9
15,17.5,23.4,11.6,1019.6,66,0,2.4,9.8,25.9
19,18.1,26.6,10,1013.9,60,0,1.6,3.3,18.3
20,19,28.2,10.1,1012.9,62,0,2.1,4.4,14.8
21,21.5,31.2,12.5,1010.5,59,0,1.8,1.5,5.4
25,22.5,31.6,17,1015.4,65,0,1.9,7.4,16.5
26,21.1,29.4,14.5,1012.8,64,0,2.6,11.3,25.9
27,22.3,29.8,15.4,1012.6,65,0,1.9,6.3,24.1
