Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,28.2,34.8,22.2,1008.4,66,0,2.7,2.6,9.4
2,28.7,35.2,22.5,1008.8,63,0,2.6,0.4,3.5
3,28.8,35.6,22.5,1008.5,59,0,2.6,0.4,3.5
7,26.4,34.6,20.2,1010,63,0,2.3,1.9,7.6
8,27.5,34.8,20.1,1008.1,63,0,1.9,2,9.4
9,27.8,35.3,22.4,1007.4,66,0,1.9,3.7,9.4
13,23.8,32.4,16.6,1012.7,62,0,1.8,0,-
14,24.2,31.8,17.3,1011.6,58,0,2.6,5.4,14.8
15,25.7,32.5,17,1012.1,58,0,2.6,3,9.4
19,27.1,34,17.8,1011,54,0,2.3,2.8,9.4
20,26,33.8,17.4,1013.8,52,0,2.4,2,7.6
21,24.8,32.9,17,-,54,0,2.6,3.3,13
25,24.5,32.5,15,1014.8,58,0,2.4,2,7.6
26,24.2,32.4,15.8,1016.8,59,0,2.1,0.6,5.4
27,24.2,31,15.6,1016.7,62,0,1.9,2.4,9.4
31,24.1,31,16,1015.3,63,0,1.6,2.2,10.7
