Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,32.6,36.2,29,997.2,68,0,1.9,11.9,22.2
2,31.2,37.4,24.4,995.6,66,22.1,2.9,12,24.1
3,32.1,37.8,23.6,995.7,70,0,2.3,6.3,13
7,33.7,37.8,28.2,997,59,0,1.9,3.1,14.8
8,35.2,39.4,28.5,995.6,55,0,3.1,3.3,7.6
9,33.4,40.1,30.8,996.1,71,0,1.9,9.4,14.8
13,29.3,37.8,26.2,996.9,85,54.1,1.9,3.7,9.4
14,30.3,34.2,25.4,996.2,82,0,1.9,3.7,11.1
15,31.8,35.2,27.6,996.2,77,0,1.9,5.6,11.1
19,32.8,37.3,28.8,996.9,73,0,2.6,5.2,11.1
20,29.2,37.8,26,996.8,87,23.88,1.9,1.9,5.4
21,29.2,33.4,27,997.3,89,7.11,1.9,2.8,7.6
25,29.5,36.7,28,997.3,84,1.02,1.9,3.9,9.4
26,26.9,32.2,25.8,997.6,95,5.08,1.9,6.5,11.1
27,26.7,28.7,25.2,996.7,95,45.97,1.9,3.1,13
31,30,34.5,27.2,997,76,0,1.9,8.3,14.8
