Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,34.6,42.1,28.4,1000.7,50,0,2.6,12.8,33.5
2,32.3,42,26.6,1001.6,53,0,2.7,12,18.3
3,34,39.2,27.7,998.6,56,0,2.6,9.6,14.8
7,35.8,40.8,29.2,997,53,0,1.9,6.5,11.1
8,35.2,41.4,32,994.3,55,0,1.9,11.3,18.3
9,30.3,40.5,25.6,995.1,75,5.08,1.4,11.5,33.5
13,37.8,41.7,34,990.4,41,0,1.6,19.4,33.5
14,36.8,41.2,33,992.5,41,0,1.6,16.9,25.9
15,36.7,40.5,33.4,994.7,43,0,1.9,17.4,27.8
19,34.2,39.4,26.5,998.2,49,0,2.6,5.9,16.5
20,35.2,40.2,29.8,998.9,55,0,2.6,1.9,5.4
21,36.2,41.9,30.9,998.2,50,0,1.9,3.5,11.1
25,36.6,42.2,32.6,993.8,42,0,2.1,11.3,31.7
26,32.4,42.7,30.7,995.5,59,0,1.9,5.4,11.1
27,30.3,37.5,26.2,997.8,76,3.05,1.9,10.2,18.3
