Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,27.1,34,23.5,1002.6,93,24.89,1.8,4.8,16.5
2,26.7,29.4,25,1002.3,92,24.89,1.9,4.6,11.1
3,26.7,29,25.6,1002.4,95,36.07,1.6,0.4,3.5
7,28.3,34.6,24.6,1003.2,86,20.07,2.1,1.7,9.4
8,28.7,34.1,25.5,1003.5,83,2.03,2.6,9.3,22.2
9,28.6,33.6,25,1005.2,80,6.1,3.1,8.1,11.1
13,30.3,33.6,26.5,1003.3,67,0,2.6,13,18.3
14,29.5,34.4,22.2,1005.7,70,0,3.4,7,14.8
15,30.6,34.6,25.5,1007.3,60,0,4,8.1,13
17,-,-,-,-,-,-,-,-,-
20,30,35.4,24,1005.2,66,0,2.7,2.8,7.6
21,28.3,35.7,23.8,1008,75,0,2.6,9.1,14.8
22,25.8,34,22.2,1008,91,26.92,1.9,10.9,18.3
24,-,-,-,-,-,-,-,-,-
27,28,33.2,22.6,1007.8,75,0,2.7,2.4,7.6
28,29.3,35.4,23.2,1008.3,63,0,2.6,2,11.1
29,28.9,35.5,23.4,1009.1,65,0,2.3,2.6,11.1
