Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,28,35.1,21.3,1008.4,61,0,2.6,3.7,14.8
2,28.3,34.6,22.5,1006.6,60,0,2.6,4.3,14.8
3,28.6,35.4,24,1004.2,59,0,1.8,4.6,11.1
7,26.8,34.1,20.4,1010.8,55,0,2.6,4.6,18.3
8,26.3,34.1,19.6,1009.9,52,0,2.7,6.1,22.2
9,26.1,33.7,19.7,1008.7,53,0,1.9,3.9,11.1
13,25.4,35.3,19.7,1010.1,63,0,1.6,2.4,16.5
14,27.2,35.5,19.5,1010.5,54,0,2.6,3,13
15,27.1,34.7,21.4,1013,51,0,1.6,9.3,27.8
19,24.3,32.6,17.5,1013.9,61,0,1.4,2.8,11.1
20,24.4,31,17.8,1014.9,64,0,1,0.7,5.4
21,24.9,31,18.2,1015.3,61,0,1.1,2.4,9.4
25,21.1,27.8,14.9,1011.8,65,0,1.9,5,18.3
26,21.4,29.5,13.9,1013.2,60,0,1.4,0,-
27,21.3,29.7,14.2,1014.1,62,0,1.3,1.9,11.1
31,21.4,28.7,15.2,1013.6,71,0,0.6,0.6,3.5
