Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,37.8,43.5,31.4,994.1,36,0,1.9,10.7,25.9
2,37.1,41.8,32.3,994.6,52,0,2.3,8.9,14.8
3,34.5,41.8,31.4,993.2,60,0,1.9,15,25.9
7,27.2,30.3,23.2,995.9,87,39.88,1.6,6.7,11.1
8,30.1,33.9,26.4,997,72,0.25,1.9,5.7,20.6
9,30.6,33.9,27.8,998.1,76,0,1.9,3.1,9.4
13,29.8,36.2,26.4,997.5,78,4.06,1.9,7.2,18.3
14,29.9,33,25.7,998,74,16,1.9,3.3,11.1
15,32,37,28,997.9,65,0,1.9,7.8,18.3
19,35.8,40.5,32.2,993.3,49,0,1.9,13,29.4
20,33.2,40.5,29.6,997.3,63,0,1.9,9.3,16.5
21,32.1,36.7,28.6,999.8,69,0,1.9,9.8,11.1
25,30.7,38.6,27.9,996.9,74,-,1.9,10.9,14.8
26,30.7,33.2,27.7,997.2,77,0,1.9,6.3,11.1
27,30.7,35.3,28.2,996.2,78,0,1.9,5,11.1
31,27.3,29,25.4,998.1,90,8.89,1.8,2.8,11.1
