Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,16.3,18.4,11.3,1015.3,85,0.51,1.1,2.2,7.6
2,14.6,19.7,11,1016.6,89,0,0.2,2.4,11.1
3,13.4,20.6,7.9,1015.3,75,0,0.6,4.4,14.8
7,14.6,17.7,12.5,1018.8,88,7.87,1.1,9.1,14.8
8,13,18,9,1020.2,83,0,0.8,7.4,11.1
9,11.3,17.6,7,1020.3,73,0,1,6.7,14.8
13,12.5,19.8,5.5,1019,61,0,1.3,8.1,14.8
14,14.5,22.6,6.7,1015.4,62,0,1.3,6.3,18.3
15,17.1,25.6,9.5,1011,68,-,1.6,8.5,18.3
19,10.6,17.7,4.8,1014.6,83,0,0.8,3.5,11.1
20,9.2,17.7,4.5,1017.8,88,0,0.5,8.7,16.5
21,10.9,18.4,5.4,1017,70,0,1.4,7.6,25.9
25,14.6,21.1,9,1015.8,65,0,1.6,8.1,14.8
26,15.6,21.1,9.3,1017.2,63,0,1.8,11.1,25.9
27,11.6,21,7,1016.7,74,0,1.3,5.6,18.3
31,12.6,21.6,4.4,1019.8,59,0,1.4,4.8,14.8
