Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,38.4,44.4,34.2,995.6,29,0,1.9,15,27.8
2,37.4,44.4,33,995.3,35,0,1.9,24.3,40.7
3,34.3,44.2,29.7,994.7,43,0.25,1.9,18.7,25.9
7,33,38.7,26.9,998.6,43,0.76,1.9,5.2,16.5
8,33.9,39.3,27,999.3,39,0,1.9,10,16.5
9,35.4,40.6,29.1,997.7,33,0,1.9,14.6,27.8
13,37.7,43.2,30.4,997.9,30,0,2.6,12.8,18.3
14,37.1,43.2,31.8,997.6,26,0,2.3,13,25.9
15,38.2,43.5,31.5,995.7,29,0,1.9,20.7,25.9
19,35.2,41.5,28.4,994,44,0,1.9,5.4,14.8
20,37.2,42.8,29.7,992.9,29,0,1.9,17.4,48.2
21,38.5,43,33.6,993.2,30,0,1.9,23.5,37
25,37.2,42.3,31.2,993.9,32,0,1.9,16.3,29.4
26,35.8,42.3,31.2,994.5,39,0,1.9,16.5,29.4
27,35.6,40.6,31,996.2,43,0,1.9,14.3,27.8
