Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,21,28.8,15.3,1013,79,0,0.6,0.9,7.6
2,20.1,28.8,15.9,1012.2,85,0,0.5,1.1,3.5
3,21,27.8,15.3,1012,73,0,0.8,0.7,5.4
7,20.6,29.3,14,1011.7,68,0,0.5,0.7,5.4
8,20,28.1,14.3,1010.8,68,0,1.1,2.8,11.1
9,20.6,30.3,12.8,1011.9,62,0,1.4,2.6,13
13,18.7,26.6,13.4,1016,74,0,0.6,0.9,7.6
14,19,27.5,13,1013.8,70,0,0.6,2.8,11.1
15,19.3,26.8,12.8,1015,71,0,0.8,2.6,14.8
19,18.7,27.7,12.3,1015.1,64,0,1,3.5,16.5
20,19.2,27.1,10.8,1015.7,53,0,1.4,2,11.1
21,16.7,26.4,9.6,1015.4,59,0,1.9,2.4,11.1
25,17,25.8,10.3,1014.8,63,0,1.4,2,9.4
26,16.8,25.8,10.5,1015.7,62,0,1.8,6.1,22.2
27,16.8,25.5,9.4,1014.5,58,0,1.8,4.4,16.5
