Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,27.9,29.4,26.6,998.8,90,16,1.1,1.5,7.6
2,31.8,36.9,27.3,995.9,69,8.89,1.9,8.9,22.2
3,32.2,36.6,28.8,994.6,62,0,1.9,12.6,22.2
7,29.4,32.9,27.1,1000.3,82,0,1.9,0.9,7.6
8,28.7,34.6,26.4,999.9,85,5.08,1.9,6.7,18.3
9,28.8,34.6,26.1,999.2,85,10.92,1.6,3.7,9.4
13,28.2,35.2,26.4,998.9,86,14.99,1.9,6.7,16.5
14,29.2,33.2,25.9,998.8,83,3.05,1.9,9.3,16.5
15,29.9,33.7,26.7,1000.6,78,0,2.3,6.7,18.3
19,30.7,34.5,28.6,1000.1,80,2.03,1.9,3.1,14.8
20,28.8,34.5,27.2,1000.4,90,25.91,1.9,5.4,9.4
21,27.3,33.3,24.8,1001.1,93,55.12,1.4,3.9,16.5
25,26.8,29,25.5,1003,94,13.97,1.9,4.6,18.3
26,28.5,32.9,25.6,1001.6,86,24.89,1.6,2.8,11.1
27,28.2,34.5,26,1000.3,81,25.91,1.8,3.1,51.9
31,29.9,34.5,24.6,1001.4,79,0,1.9,1.9,7.6
