Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,19.8,29.4,10.6,1007.9,57,0,2.4,3.7,14.8
2,20.2,29.5,12.2,1006.8,52,0,2.4,5.6,14.8
3,21.2,29.2,12.4,1006.6,51,0,2.1,11.1,22.2
7,20.9,29.1,13.1,1004.9,49,0,2.6,8.3,22.2
8,19.9,29,12.7,1006.1,55,0,1.9,9.4,14.8
9,18.6,25,11.8,1010.2,50,0,1.9,8.1,18.3
13,20.2,30.2,14.8,1014.9,58,6.1,2.6,7.8,14.8
14,19.5,27.2,13.1,1015.8,52,0,1.6,11.7,22.2
15,20.8,27.8,14,1013.3,50,0,2.4,10.6,18.3
19,28.3,37,19.4,1008.5,54,0,1.8,7,16.5
20,26.1,34.5,19.2,1008.7,44,0,1.1,10.2,24.1
21,19.9,34.5,13.5,1012.1,35,0,1.8,16.7,27.8
25,25,33.4,17.3,1010.9,44,0,2.4,11.5,25.9
26,26.7,36.2,18.2,1010,45,0,1.9,5.6,14.8
27,26.4,36.2,19.2,1011.5,46,0,1.8,5,11.1
31,27.9,36.5,18.6,1010.3,49,0,2.4,3.7,9.4
