Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,28.9,37.6,21,1009.9,47,0,2.3,4.3,11.1
2,29.6,38.3,21.4,1010.2,45,0,2.1,3.1,11.1
3,30.9,38.7,24,1009.7,45,0,1.9,6.5,18.3
7,29.6,37.6,22,1004.8,46,0,1.9,5.7,13
8,29.3,36.6,22.1,1005.2,38,0,2.7,8.9,25.9
9,30.5,38.5,23.1,1005.1,38,0,2.1,6.5,22.2
13,25.3,29.7,23.2,1007.3,53,0,1.9,11.1,33.5
14,23.8,29.7,20.4,1009.8,65,0.51,1.6,3.5,7.6
15,24.8,31.3,19,1009.6,63,7.11,1.9,1.9,5.4
19,30.4,36.7,21.7,1005.9,41,0,1.9,15.6,48.2
20,30.3,37.5,24.8,1008.4,41,0,1.9,17.6,40.7
21,29,34.8,23.6,1008.2,40,0,2.6,16.5,29.4
25,28.8,35.6,21.4,1006.2,45,0,2.3,6.7,18.3
26,25.9,35.6,21.6,1007.5,57,2.03,1.9,10.2,40.7
27,27.8,34.7,19.8,1005.2,46,0,1.8,11.3,25.9
