Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,28.8,36,21,1004,37,0,2.6,5.7,11.1
2,29.1,37.7,20.5,1004.9,32,0,2.6,3.7,14.8
3,29.8,37.6,21.4,1002.9,34,0,2.6,5.7,14.8
7,32.8,39.8,24.6,1002.5,38,0,2.4,5.7,14.8
8,32.7,40.6,27.2,1003.4,37,0,2.3,13,22.2
9,33.6,40.8,28.2,1004.5,35,0,2.6,10.6,22.2
13,31.7,40.3,22,1003,37,0,2.3,13.9,20.6
14,29.8,37.6,26.4,1002.9,37,0,2.3,16.5,24.1
15,33.1,39.8,26.4,1002.9,29,-,2.1,6.9,25.9
19,34.9,40.8,29,1003.3,27,0,1.9,18.5,25.9
20,34.2,41.4,25.4,1001.9,33,0,1.9,5.7,14.8
21,34.6,42.3,27.7,1001.1,30,0,2.3,8.5,29.4
25,37.2,44,27.8,997.3,22,0,1.9,13.9,24.1
26,35.8,44,32.5,999.3,28,0,1.9,14.8,33.5
27,35.9,41.6,30.4,999.4,23,0,1.9,17.2,33.5
31,39.2,45.4,33.4,994.9,25,0,1.9,16.9,27.8
