Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,31.2,35.3,26.8,1000.9,74,0,1.9,1.1,9.4
2,29.4,35.3,27,1002.1,82,3.05,1.8,5.6,18.3
3,30.1,34.9,25.6,1001.4,75,0,2.3,4.8,11.1
7,28.9,32.6,26,1003.9,77,0.51,2.3,20.2,27.8
8,28.8,33.6,24.8,1004.4,81,3.05,1.9,5.6,14.8
9,30.9,35.5,26.2,1004,75,0,2.7,0.4,3.5
13,29.7,35.8,25.9,1000.9,82,0,1.9,6.3,11.1
14,28.2,32.6,26.2,1000.3,87,9.91,1.9,7.4,11.1
15,28.3,34,24.8,999.6,84,2.03,2.1,10.9,18.3
19,28.8,33.1,24.8,1005.2,77,0,1.9,3.1,9.4
20,28.7,32.9,24.6,1005.6,76,0,2.6,7.4,20.6
21,28.4,33.5,23.9,1005.6,73,0,2.6,7.4,18.3
25,28.6,34.4,23.4,1006.7,62,0,2.7,10,22.2
26,28.6,34.6,23.6,1009.7,62,0,2.7,8.5,18.3
27,28.2,34.6,23.3,1010.1,67,0,2.6,5.6,14.8
