Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,24.9,33.2,16.8,1006.2,49,0,2.6,9.6,25.9
2,26.8,35.2,17.7,1005.7,50,0.25,1.9,7.2,14.8
3,25.1,35.2,18,1010.4,53,0,2.1,10.4,25.9
7,27.2,38,21,1009.7,55,0,1.9,13,18.3
8,25.8,32.2,19.5,1010.3,49,0,2.6,12.6,18.3
9,25.7,32.8,17.5,1010.3,41,0,2.6,12.8,25.9
13,27,37.2,22.6,1009.8,49,0,1.9,15.6,27.8
14,27.7,34.5,21.5,1010.6,55,0.76,1.9,5.2,13
15,29.1,36.5,20.5,1009.2,53,0,1.8,2.6,11.1
19,25.6,32.3,20,1011.4,64,0,1.9,5,14.8
20,26.8,33.6,19.2,1010.5,53,0,1.6,4.6,11.1
21,28.1,35.8,18.6,1010,40,0,1.9,8.7,16.5
25,30.5,38.8,20.6,1006,41,0,2.4,8.1,22.2
26,31.5,38.8,22.1,1006.2,39,0,2.4,8.1,16.5
27,30.6,38.7,21.5,1007,36,0,1.9,8.3,18.3
