Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,31.2,35.2,27,1000.9,71,0,1.9,6.3,11.1
2,29.5,36.6,25.5,1000.9,76,0,1.8,5.7,14.8
3,28.9,36.6,26.1,998.4,80,4.06,1.9,5.2,14.8
7,34,38.8,26.8,998.1,55,1.02,1.9,5.6,14.8
8,34.9,40.3,28.6,996.8,48,0,1.9,9.6,25.9
9,35.9,40.5,29.6,996.3,46,0,1.9,13.7,27.8
13,33.3,42.3,29.2,997.8,69,0,1.9,5.2,9.4
14,32.4,40.2,25.9,997.2,74,25.91,1.9,6.7,14.8
15,33.2,39,28.5,996.2,68,0,1.9,8.9,11.1
19,29.8,33.6,25.4,995.1,76,0,1.9,6.3,18.3
20,30.8,34.6,26.5,996.6,74,0,1.9,6.3,14.8
21,32.1,35.8,27.2,996.1,71,0,1.9,4.6,9.4
25,30.7,33.9,26.5,1000.8,70,0,1.9,10,14.8
26,32.5,37.5,27.6,1001.9,67,0,1.9,7.2,18.3
27,31.7,37.5,28.1,1002.1,71,0,1.9,2.4,33.5
31,32.5,36.5,28.2,999.9,71,0,1.9,7.8,16.5
