Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,32.9,41.6,25.6,1003,44,0.51,2.9,17.4,55.4
2,32.8,39.9,25,1003.3,48,0,2.6,4.6,14.8
3,34.8,41.7,26.5,1000,40,0,2.6,6.5,14.8
7,38.5,44.9,30.8,994,31,0,1.9,13.1,29.4
8,37.8,45.1,28.6,993.3,34,0,1.9,6.7,18.3
9,37.9,45.5,30.1,993.1,38,0,1.9,5.9,16.5
13,30.3,41.1,22.7,997.7,62,0.76,2.6,16.7,29.4
14,30.5,37.1,25.5,997.3,73,3.05,2.6,6.5,22.2
15,33.9,40.6,28,997,59,0,2.1,8.1,25.9
19,35.6,41.4,28.4,993.2,55,4.06,1.9,10.9,18.3
20,37.9,43,31,991.5,44,0,2.3,17.8,25.9
21,36.9,41.7,32.7,994,49,0,1.9,9.8,24.1
25,33.3,39,25.3,997.7,56,0,1.9,9.8,16.5
26,32.4,38.1,23.5,1000.8,66,25.91,1.9,3.3,7.6
27,34.7,39.9,28.8,1001.5,55,0.25,1.9,9.4,22.2
