Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,31,36.9,24.3,1010.1,54,0,3.1,3.1,11.1
2,30.3,36.9,24.6,1009.1,58,0,2.6,2.8,9.4
3,30.7,37,24.4,1008.1,57,0,2.7,2,14.8
7,30.9,37.2,24.5,1008.3,65,0,1.6,1.1,5.4
8,29.6,35.2,24.9,1009.9,59,0,1.9,3,20.6
9,27.6,34.6,22.2,1010,56,0,2.3,3.3,11.1
13,27.6,34.5,18.6,1009.8,66,0,1.8,8.7,14.8
14,24.4,33.6,21.4,1011,75,2.03,1.9,5.4,14.8
15,24.5,30.4,19.6,1014.8,73,0,2.1,3.1,7.6
19,23.8,31.5,16.5,1012.5,61,0,1.4,4.3,11.1
20,24.7,32.3,16.6,1013.3,60,0,1.8,4.4,14.8
21,25.4,33.3,18,1014.5,60,0,1.4,2,5.4
25,25.4,33.1,18.6,1012.3,71,0,1,0.9,3.5
26,25.1,32.3,19.4,1014.9,69,0,1.4,2,9.4
27,24.9,32.6,19.5,1013.7,67,0,1.4,1.9,9.4
31,23.2,32.1,16,1013.7,62,0,1,3.7,11.1
