Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,34.8,42.8,24.2,1001.7,30,0,2.3,9.6,18.3
2,34.5,41.7,26.2,1001.8,33,0,1.9,6.5,11.1
3,31.8,41.7,26.2,1003.7,43,0,1.9,7.4,18.3
7,31.8,38.6,24.2,1004.3,54,0,1.9,1.9,7.6
8,32.2,39.5,25.2,1002.1,45,0,1.6,9.3,16.5
9,30.7,39.5,21.4,1000.5,43,6.1,1.6,6.5,14.8
13,25.2,30.6,18,1008.2,71,9.91,2.6,10,20.6
14,26.9,32.1,19,1006.6,62,4.06,1.8,8.5,18.3
15,29.7,35.4,23,1004.1,48,0,1.8,11.1,16.5
19,32.3,39.1,24,1006.6,36,0,2.3,11.7,24.1
20,31.9,38.8,26.5,1006,39,0,2.3,8.7,22.2
21,32.8,38.6,24.8,1002.3,40,0,1.9,9.6,18.3
25,32.4,40.6,23.2,1005.2,45,8.89,2.7,8.9,14.8
26,30,36.4,21.4,1007.2,60,12.95,2.6,4.1,14.8
27,31.8,38.8,24,1004.8,54,0,1.9,2.6,7.6
31,34.6,42.8,25,999.6,46,0,1.8,6.3,18.3
