Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,13.2,18.2,9.2,1021,92,0,0.8,7.6,11.1
2,11.1,18.3,5,1020.2,80,0,1.1,8,14.8
3,12.7,19.8,5.2,1017.9,78,0,1.3,5.4,14.8
7,12.2,19.7,6.1,1018,74,0,1,3.9,-
8,11.9,20.7,4.4,1017.9,78,0,0.8,1.9,7.6
9,11.7,20.7,6.5,1017.3,89,0,0.3,0.9,7.6
13,13.9,21.6,7,1019.6,74,0,0.8,1.1,9.4
14,14.9,22.1,8.9,1017.2,78,0,1,2.8,7.6
15,12,22.1,9.6,1019.7,95,0,0.3,0.4,3.5
19,14.5,21,8.6,1023.2,88,0,1.3,3.5,7.6
20,14.6,22.3,9,1021.2,86,0,1,4.4,9.4
21,13.4,22.3,11.5,1020.6,98,5.08,1.4,6.9,13
25,11.7,18.2,9.4,1019.9,96,0,0.5,8.3,11.1
26,14.3,20.3,9.9,1019.1,88,0,0.6,8.9,14.8
27,16.6,24,10.1,1018.8,75,0,1.3,10,14.8
31,14.8,21.1,10,1019.3,86,0,0.5,3,11.1
