Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,19.3,28,13.8,1014.7,81,0,0.6,1.7,7.6
2,17.9,26.2,13.5,1016.2,75,0,0.8,2,11.1
3,17.6,24.6,11.2,1016.1,75,0,0.8,7,18.3
7,17.8,26.2,11,1017.1,79,0,0.6,2,7.6
8,20.2,27,12,1015.8,68,0,1,1.3,5.4
9,19.2,26.9,11.6,1015.4,78,0,1,4.8,14.8
13,14.8,21,6.8,1016.4,63,0,2.4,5.4,13
14,14.6,21.3,6,1017.1,59,0,2.6,8.1,14.8
15,15.2,22.2,7,1016.5,60,0,2.4,7,14.8
19,14.4,21.1,6.8,1019.1,65,0,1.6,5.6,13
20,12.6,21,0,1018.9,68,0,1.4,2.6,9.4
21,13.7,21,5.6,1018.8,71,0,1.3,1.5,7.6
25,13.3,19.3,5.5,1021.9,62,0,1.9,7.8,14.8
26,14.4,21.5,5.5,1021,60,0,1.8,8.9,18.3
27,16.3,22.5,7.6,1020.6,64,0,1.4,8.1,14.8
31,-,-,-,-,-,-,-,-,-
