Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,28.1,35.3,21.5,1011.8,56,0,2.6,5.6,13
2,28.3,35.5,20.6,1011.1,57,0,3.2,5,-
3,30.1,36.1,23.7,1007.8,58,0,3.1,5.7,-
7,28.6,35.6,22.7,1009,72,0,1.9,6.5,18.3
8,28.5,35.4,23.2,1007.3,70,0,1.9,4.4,14.8
9,28.6,36,21.8,1004.3,65,0,1.9,6.1,24.1
13,29.6,35.5,25,1011,69,0,1.9,3.7,9.4
14,28.2,34.9,22.9,1012.7,70,0,1.9,3.9,9.4
15,27.6,34.9,21.5,1013.6,71,0.51,1.8,0.4,3.5
19,28.2,36.1,21.9,1011.7,70,0,1.9,3.5,9.4
20,27.7,36.2,22.9,1009.9,69,0,1.9,3,9.4
21,26.6,36.2,21,1012,68,0,1.6,2,7.6
25,26.4,34.4,18.3,1012.8,53,0,2.1,5.4,14.8
26,25.4,34.4,20.3,1015,59,0,1.9,5.6,16.5
27,24.7,33.3,18.5,1014,61,0,2.3,3.5,7.6
31,22.3,29.8,15.6,1016,73,0,1.6,1.1,5.4
