Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,26.4,32.5,20.3,1007.4,64,0,1.9,2.4,9.4
2,28.7,34.7,21,1004.7,53,-,1.9,9.4,18.3
3,24.4,34.7,19,1004.6,76,6.1,3.1,7,14.8
7,23.9,31.4,19.2,1010.2,69,0,1.9,9.8,13
8,25.2,32.2,18.2,1012,56,0,2.6,6.7,16.5
9,25.8,32.5,18.6,1010.3,58,0,2.7,9.1,24.1
13,24.9,32.2,19,1013.7,74,0,2.3,7,13
14,26.4,32.5,20,1012.8,68,2.03,2.6,3,11.1
15,27.6,34.3,20.8,1013,65,0,3.1,5.9,14.8
19,32,40.6,21.6,1003.9,45,0,2.7,4.3,9.4
20,32.8,40.6,26,1005.8,45,0,1.9,7.2,11.1
21,31.8,39.6,25.4,1005.6,35,0,1.9,11.1,27.8
25,30.4,39.1,22.2,1005.9,51,0,1.9,13,22.2
26,28.8,37.1,22.8,1008,59,0,1.9,15.7,25.9
27,30.2,37.1,23.5,1006.7,59,0,1.9,17.6,33.5
