Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,15.1,24,6.7,1017.6,66,0,1.3,5,11.1
2,17.3,23.8,10.4,1017.5,70,0,1,11.9,18.3
3,16.7,23.8,13,1020.7,75,0,0.8,7.2,14.8
7,15.7,25.6,7.4,1016.9,68,0,1.4,1.9,7.6
8,16.7,25.6,9.3,1017.5,66,0,1.4,4.4,13
9,16.9,25.5,10.5,1019.9,65,0,2.3,5.6,22.2
13,17.2,25.5,9.3,1012.8,61,0,2.4,6.7,20.6
14,19.3,28.6,10.6,1009.5,65,0,2.6,4.3,14.8
15,18.9,28.6,11.2,1012.8,73,0,0.8,1.5,7.6
19,22.9,29.3,17,1012.4,78,0,1.6,7.6,14.8
20,22.8,29.3,18,1013.7,72,2.03,1.9,7.2,14.8
21,21.9,29.1,15.2,1014.1,69,0,2.3,11.3,18.3
25,23.2,28.6,18.4,1008.5,65,0,1.4,6.5,13
26,20,27.6,14.5,1009.8,42,0,1.9,6.7,11.1
27,19.2,27.6,11.1,1013,49,0,2.6,5.7,11.1
