Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,30.1,40.6,23.5,1002.2,47,0,1.9,14.3,29.4
2,31.6,39.9,22.2,1003.4,46,3.05,1.9,8.5,20.6
3,28.7,34.1,23.6,1004.3,59,0.51,1.9,6.7,11.1
7,35.1,42.5,26,999.4,42,0,2.6,7.2,16.5
8,36.3,42.9,27.7,998.7,38,0,2.6,6.3,22.2
9,37.6,42.4,30,998.8,32,0,1.9,18.7,27.8
13,31.9,41.6,28,998.8,52,0,2.3,9.4,14.8
14,27,39.7,20.5,1000.2,82,25.91,1.9,3.9,13
15,30.8,34.9,25.5,999.4,66,1.02,1.9,3.1,9.4
19,35.9,41.6,29,996.7,54,0,1.9,8.5,18.3
20,33,42.3,27.2,997.8,56,0,1.9,13,25.9
21,30.4,34.4,25.3,997,70,7.11,1.9,5.6,20.6
25,26.5,36.8,22.4,994.9,86,21.08,1.8,6.3,11.1
26,31.5,36.8,24,994.7,62,0.25,1.8,11.7,22.2
27,32.7,38,27,996.9,56,0,1.9,14.1,29.4
