Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,28.4,32.6,25.4,1002.7,77,2.03,1.9,0.9,7.6
2,29.8,33.9,25,1003.5,75,0.25,1.9,2.6,7.6
3,31.6,35.5,25.4,1001.9,63,0,1.9,5.4,11.1
7,29.4,34.4,26.4,999.9,86,0,1.8,2.2,14.8
8,28.8,34.4,25.3,1001.7,88,16,1.6,1.7,7.6
9,27.5,30.8,25,1000.2,92,29.97,1.3,3,7.6
13,31.9,35.8,28,1001.8,75,0,1.9,0.4,3.5
14,30.9,35.8,28.6,1001.8,78,0,1.9,3.3,14.8
15,28.5,33.8,26.2,1002.7,88,7.87,1.4,0,-
19,31.6,35.6,25.8,1002.7,67,2.03,2.9,13,22.2
20,30.9,35.5,27.7,1001.5,66,0,1.9,14.6,27.8
21,29.5,34.5,27.6,1002,77,7.11,1.9,8.5,18.3
25,32,35.6,27,1000.9,64,0,3.4,10,20.6
26,31.9,36.2,28,1001.1,68,0,2.6,4.8,14.8
27,32.4,36.9,28.1,1001.9,68,0,2.7,5.4,11.1
31,32.2,36.8,28.4,1002,61,0,2.6,14.6,24.1
