Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,17.3,19,15.2,1011,94,7.87,1.8,14.8,24.1
2,17.4,22.1,14.6,1012.6,92,56.9,1.9,6.7,16.5
3,16.1,22.1,12.8,1013.8,84,7.11,1.8,5.6,13
7,18.6,27.3,12.5,1014,79,7.87,2.6,3.9,13
8,19.4,27.6,14,1015.2,79,0.51,2.3,7.8,18.3
9,18.1,24.1,13.3,1021.1,60,0,2.7,12.2,20.6
13,21.3,28.3,14.2,1014.7,70,0,1.6,4.1,9.4
14,21.6,27.3,15.8,1015.3,71,0,2.6,7.8,20.6
15,17.7,27.3,16,1015.3,92,4.06,1.9,11.5,18.3
19,21.1,28.3,14,1014.8,69,0,2.4,5.4,13
20,22.5,30.2,14.5,1014.8,68,0,2.6,9.1,22.2
21,24.9,31.7,15.8,1014.8,65,0,2.6,5.9,13
25,26.8,35.1,18.5,1011.7,68,0,2.3,2.6,11.1
26,28.6,36.5,20.3,1012.4,59,0,1.8,9.3,55.4
27,27.7,35.6,20.4,1011.7,54,0,2.7,7.4,24.1
31,25.1,30.8,19,1010.4,70,0,2.1,3.7,11.1
