Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,22.9,31.4,16.2,1016.1,73,0,1.4,0.9,3.5
2,23.4,31.8,17.3,1015.8,75,0,1.6,0.4,3.5
3,23.9,31.8,18.6,1014.2,73,0,1.8,0.4,1.9
7,21.9,30.2,16.1,1014.8,79,0,0.5,1.1,7.6
8,21.9,29,17.1,1016,75,0,1.1,1.9,5.4
9,22.1,29.8,16.1,1015,77,0,1.3,0.7,3.5
13,22.3,29.3,16.1,1014.9,64,0,0.8,5.4,18.3
14,22.4,29.8,16.5,1012,65,0,1.1,3.5,13
15,22.6,32,15,1011.9,66,0,1.6,0,-
19,18.5,27.7,11.5,1017.6,68,0,1.3,0.9,7.6
20,18.6,27.7,11.4,1016.4,69,0,1.1,0.4,3.5
21,18.8,28.5,11.5,1015.4,69,0,0.8,1.3,3.5
25,19.3,28,13,1014.7,61,0,1.9,5.7,18.3
26,20,29.1,11.9,1012.6,64,0,1.4,0.9,7.6
27,18.4,29.1,13.5,1011.4,71,0,1.3,2.6,7.6
