Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,31.2,39.4,24.2,1005.8,52,-,2.7,5.4,14.8
2,30.2,37.6,23.6,1006.3,47,0.25,2.6,4.4,11.1
3,30.9,38.9,21.7,1006.7,44,0,2.7,3,11.1
7,35.7,42.7,27.6,1003.4,21,0,1.9,14.4,27.8
8,34.1,42.7,27,1003.2,29,0,1.9,12.2,27.8
9,35.1,42.7,25.7,1001.6,35,0,2.3,8.3,18.3
13,28.3,38.7,23.8,1006.5,65,2.03,2.4,7.8,14.8
14,29.9,35.9,22,1007.4,56,0,2.6,4.4,11.1
15,28.7,35.8,24.2,1006.5,58,0.51,1.9,7,18.3
19,31.4,41.5,24.9,1002.2,50,0,1.8,14.8,50
20,33.2,41.5,22.4,1002,38,0,2.4,14.6,22.2
21,35.8,42.6,27,1000.4,30,0,2.6,11.3,24.1
25,37.8,45.5,28,996.7,29,0,2.6,10.9,22.2
26,35.3,45.5,24.4,999.2,33,-,2.3,17,55.4
27,33.8,45,24.8,1001.3,26,0,2.6,6.7,18.3
31,35.3,40.6,28.9,1000.7,30,0,1.9,15.2,27.8
