Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,29.8,38.2,21.6,1003.5,38,0,1.9,4.3,9.4
2,30.2,38,20.7,1005.7,35,-,2.6,3.7,11.1
3,30.6,38.7,23.1,1007.5,35,0,1.9,1.7,9.4
7,30.2,38.8,19.6,1009.7,28,0,2.6,9.3,29.4
8,31.3,39,20.8,1010.2,30,0,1.9,2.8,7.6
9,31.3,40.1,21.6,1004.7,32,0,1.9,7.4,22.2
13,33,39.8,25.4,1004,27,0,2.6,8.9,29.4
14,32.7,41.2,24.1,1004.6,29,0,2.7,9.8,25.9
15,32.9,42.3,23.6,1006.1,31,0,2.7,4.6,11.1
17,-,-,-,-,-,-,-,-,-
18,-,-,-,-,-,-,-,-,-
19,-,-,-,-,-,-,-,-,-
21,-,-,-,-,-,-,-,-,-
23,32.7,39.2,26.5,1005.5,25,0,1.9,7.8,22.2
24,32.3,39.4,23.7,1004.5,27,0,2.6,5.7,14.8
25,32.3,39.7,24.7,1003.8,31,0,2.3,2.8,11.1
29,33.2,41.4,26.4,1004.9,41,0.25,1.9,4.8,22.2
30,34.1,41.7,28,1005.3,32,0,2.1,8.3,33.5
