Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,28.3,32.8,25.2,1001.1,84,62.99,1.6,0.9,5.4
2,28.7,34,25.2,999.6,84,8.89,1.9,8.5,14.8
3,29.8,34,26.8,998.2,80,0.51,1.9,14.3,22.2
7,31.9,35.8,28.6,1002,70,0,2.7,9.3,22.2
8,32.9,36.6,28.6,1000.4,69,0,2.3,5.9,14.8
9,32.9,37.6,28.4,1000,66,0,1.9,4.3,11.1
13,30.3,35.6,27,1001.7,80,11.94,1.9,3,9.4
14,28,33.5,26,1001.6,91,61.98,1.4,2.8,14.8
15,29.3,34.4,26.6,1002.7,86,10.92,1.9,0.7,5.4
19,27.3,27.8,26.4,1002.6,94,5.08,1.8,1.3,7.6
20,27.4,28.4,26.3,1004.8,97,109.98,1.4,1.9,7.6
21,27.6,28.4,26.8,1001.4,95,24.89,1.4,1.5,11.1
25,28,31.7,25.3,1002.5,86,8.89,1.9,3.1,7.6
26,29.2,33.9,25.6,1003.3,83,0.51,1.9,0.9,5.4
27,30.5,34.1,27,1002.1,81,0,1.6,0,-
31,30.5,34.7,28,1000.7,79,0,1.9,4.3,9.4
