Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,14.9,23.6,7.3,1016.9,67,0,0.8,1.1,9.4
2,15.1,23.6,7.9,1016.7,66,0,1.3,2.6,11.1
3,15.2,23.5,8.7,1017.1,59,0,1.6,7.6,22.2
7,20.8,30.1,11.8,1015.7,66,0,1.4,0,-
8,19.6,30.1,16,1010.8,78,5.08,1,11.3,27.8
9,16.4,23,12.2,1011.3,82,14.99,1.4,8.7,22.2
13,17.8,23.6,11.6,1015.8,78,0,1.1,1.9,5.4
14,15.8,23.6,10.1,1014.4,71,0,1.4,3.5,11.1
15,15.6,21.2,10.3,1014.5,79,0,1.3,1.5,5.4
19,16.1,24,8.6,1016.3,61,0,2.6,4.3,11.1
20,17.4,25.5,9.7,1016,60,0,1.4,5,18.3
21,19.6,27.8,11.7,1014.4,56,0,1.9,8.7,22.2
25,20.4,27.7,14.6,1012.5,70,0,1.9,7.4,22.2
26,21.8,30.4,14.7,1012.9,60,0,2.1,8.5,22.2
27,23.3,31.5,15.2,1011.3,58,0,2.6,4.6,14.8
