Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,13.8,21.9,6.6,1017.6,79,0,0.6,3.9,11.1
2,11.3,15,9,1020.3,94,0,0.2,1.3,3.5
3,12.2,15.3,9.7,1019.2,93,2.03,0.5,5.2,11.1
7,12.2,19,7.8,1018.6,89,0,0.3,0,-
8,10.8,12.8,8,1018.3,92,0,0.2,3.7,7.6
9,11.9,17.8,9,1017.7,81,0,0.8,3.5,7.6
13,11.7,16.2,8.1,1019.4,83,5.08,0.5,0.9,7.6
14,11.8,17.1,8,1023,84,0,0.5,6.7,11.1
15,11.8,17.5,7.7,1023.2,82,0,0.6,5.4,11.1
19,12.5,19.8,8.4,1019.3,79,0,0.6,1.3,3.5
20,11.6,18.6,6.6,1021,88,0,0.2,0.7,3.5
21,11.8,20,7.2,1019.3,82,0,0.3,1.5,5.4
25,16.3,24,10.7,1017.7,78,0,0.8,0.9,5.4
26,14.7,22.8,9.4,1018.6,83,0,0.5,3.1,9.4
27,16.2,24.5,9.8,1017.7,77,0,1,2.6,9.4
31,15.1,23,8.5,1017.1,62,0,8.4,6.7,14.8
