Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,37.5,44.1,28,999.8,25,0,1.9,15.2,29.4
2,38.6,44.1,34.2,1001.4,28,0,1.4,15.2,27.8
3,34.9,41.2,29.6,1002.3,37,0,1.4,23.7,29.4
7,28.9,33,27,999.6,51,0.25,2.1,4.6,14.8
8,25,26.9,22.1,1002.4,76,0.51,1.6,7.4,14.8
9,31,36.3,23.4,1002.1,47,0,1.8,13,29.4
13,33.5,43,28.1,998.9,42,0.25,1.9,10.9,18.3
14,33.4,39.7,26.1,999.4,46,0,1.9,8,22.2
15,34.7,40.6,27.8,998.7,38,0,1.9,6.1,22.2
19,36.1,43.2,27.8,998.5,48,0,2.6,3,11.1
20,38.3,44.8,29.8,997.4,40,0,1.9,3.9,9.4
21,37.5,44.1,31.1,995.7,47,0,2.3,5,9.4
25,31.8,36.5,27.4,997.4,58,0,1.9,3,9.4
26,35.2,41.6,28.6,996.5,45,0,1.9,3.7,7.6
27,35.2,41.1,27.4,996.1,50,2.03,1.9,3.5,7.6
