Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,32.1,41.7,26.8,1006.5,39,1.02,1.8,9.6,25.9
2,30.8,36.7,23.6,1005.1,45,2.03,1.9,1.9,5.4
3,32.3,38.5,26.2,1002.5,41,0,1.9,6.7,14.8
7,29.7,35.6,25.6,1002.8,56,0,1.9,7,18.3
8,30.9,38.3,23.6,1003.3,47,0,1.9,1.1,5.4
9,33.4,39,27.5,1000.4,34,0,1.9,11.5,22.2
13,37,44.4,25.9,999,22,0,2.3,7.6,18.3
14,35.4,43.2,30.2,999.6,29,-,2.3,13.3,70.2
15,36.1,43.3,30,999.8,30,0,1.9,1.9,9.4
19,35.9,41.6,30.6,1000.7,33,0,1.9,5.6,18.3
20,35.6,41.8,28.7,999.5,24,0,2.7,9.4,25.9
21,34.4,42.6,25,999.5,26,0,2.7,4.8,14.8
25,37,44.6,29.6,993.8,34,0,1.9,5.6,11.1
26,37.2,45.2,28.8,993,27,0,1.9,6.3,22.2
27,37.3,43.8,30.3,993.8,42,0,1.8,11.5,25.9
31,35.1,42.5,26.1,999.6,27,0,1.9,7.2,20.6
