Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,24.8,33,19.2,1011.1,58,0,2.3,3.1,11.1
2,24.1,32,17.5,1010.3,53,0,2.3,6.5,20.6
3,24.4,31.5,18,1007.5,53,0,2.3,3.7,11.1
7,22.3,27.8,18.6,1013.9,64,0,2.6,10.2,22.2
8,20.4,26.6,14.3,1014.8,71,0,2.6,9.3,25.9
9,21.4,28.7,14.5,1016.1,64,0,2.3,5.6,14.8
13,24.1,32,17,1011.7,61,0,2.3,5.6,14.8
14,24.6,32.5,17.6,1008.6,60,0,1.9,6.5,18.3
15,23.3,32.8,17.8,1009.7,66,0,2.6,3.7,11.1
19,26.3,34.6,19.8,1012.4,55,0,2.1,7.6,22.2
20,27.5,36.1,18.8,1010.2,52,0,1.9,3,14.8
21,29.1,39.2,19.5,1006.6,46,0,1.9,3.9,18.3
25,28.8,36.1,20.5,1004.5,49,0,1.8,1.5,7.6
26,29.6,38.7,21,1005,44,0,1.9,2.8,9.4
27,29.9,38.2,23.1,1006.4,41,0,1.9,4.1,18.3
31,30.3,38.2,23,1003,38,0,1.9,2.4,7.6
