Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,32.5,38.9,29.8,998.1,63,0,1.9,15.9,33.5
2,34.3,39.4,27.7,998.8,58,0,1.9,2.2,5.4
3,34.6,38.9,30.6,999.8,60,0,1.9,9.8,16.5
7,29.9,37.1,26,1003.4,81,16,1.6,6.9,27.8
8,31.6,37.1,25.2,1003.3,74,21.08,1.9,2.6,7.6
9,33.7,37.4,28.8,999.8,69,0,1.9,2.8,9.4
13,30.6,34.8,23.2,1000.6,71,52.07,1.9,2.2,11.1
14,33.3,36.8,28.8,1000.9,62,0,1.9,4.8,11.1
15,32.9,36.6,29.5,1000.3,69,0,1.8,2,11.1
19,30.4,37.8,27.8,996.8,78,-,1.9,9.8,22.2
20,27.4,34.1,25.6,998.8,93,13.97,1.6,1.5,7.6
21,29.9,33.5,26,998.4,81,27.94,1.9,4.3,9.4
25,31.2,34.9,28,995.1,78,0,1.9,6.7,14.8
26,32.9,36.4,28.7,995.9,66,0,2.9,19.3,27.8
27,27.8,29.2,26.4,1000.1,88,3.05,1.9,20.6,29.4
31,26.3,29.6,24.4,1001.3,94,1.02,1.3,1.5,5.4
