Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,28.8,32,26.8,1001.6,84,-,2.3,9.6,18.3
2,29.8,32,27,1000.2,78,0,2.7,10.2,14.8
3,31.2,35,27.3,997.2,69,0,2.9,18.7,27.8
7,29.8,36.1,26,1001.8,84,-,2.3,3.5,11.1
8,31.7,36,26.5,1001.5,77,29.97,2.7,4.8,13
9,29.2,35.6,27,999.3,87,0,1.6,3.5,18.3
13,31.3,35,27.3,1001.2,68,0,2.9,13.1,22.2
14,31.6,36,27.4,1003.3,63,0,3.7,7.2,14.8
15,32.4,37,28.5,-,62,0,3.4,10.7,22.2
19,27.9,37.8,26,1003.2,92,-,1.6,6.1,14.8
20,32,36,26.5,1001.8,70,0,3.1,9.6,28.7
21,32.1,36,28.3,1001.3,72,0,3.2,8.5,16.5
25,31.1,35,27.2,999.9,76,-,2.4,3.9,11.1
26,29.1,35.3,25.2,1000.4,84,-,2.4,4.3,22.2
27,31,36,24.8,1000,71,-,3.2,3.7,9.4
31,28.2,35.5,25.6,1003.7,89,-,1.6,6.1,20.6
