Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,23.5,31.4,17.6,1014,72,0,1.6,1.7,9.4
2,23.3,32,19.4,1012.9,79,0,1.3,2.6,9.4
3,22.7,30.3,17.5,1013.5,78,0,1.1,0.4,3.5
7,21.1,30,16,1014.4,73,0,0.6,1.9,11.1
8,19.7,30.2,14,1014,82,0,0.3,0.4,3.5
9,20.1,30.4,13.8,1013.2,71,0,0.5,0.9,7.6
13,19.3,28.5,12.4,1010.9,74,0,0.6,0.4,3.5
14,20.1,28.5,14.6,1011.2,73,0,0.8,1.9,7.6
15,18.8,27.7,13.2,1012.4,76,0,1.1,0.6,-
19,18.1,24.3,13.5,1016.5,60,0,1.8,5.6,14.8
20,15.9,24.5,9.4,1017.3,58,0,1.4,3.9,11.1
21,16,24.4,10.2,1015.1,59,0,1.8,5.2,18.3
25,16.9,26.5,8.6,1016,57,0,1.9,3.5,9.4
26,16.9,27.5,8.6,1016.7,63,0,1.6,1.1,9.4
27,16.3,27.5,9,1013.9,63,0,1.9,5,13
