Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,16.2,23.4,9.4,1017.9,75,0,1.3,8,16.5
2,17,24,8.6,1019.2,66,0,1.6,2.8,7.6
3,17.9,25,9.5,1017.3,68,0,1.6,3.3,11.1
7,16.1,23.5,8.6,1015.9,62,0,2.9,10.2,18.3
8,16.8,24,9,1015.2,63,0,1.8,5.7,18.3
9,16.7,24.2,9.4,1016.4,66,0,1.8,10.6,27.8
13,18.2,25,8.9,1021.9,59,0,2.3,7.6,18.3
14,18.6,29,10.2,1021.3,59,0,1.8,10.2,18.3
15,19.7,27,9.8,1020.3,58,0,2.4,8.7,32.4
19,24.1,31,15.6,1011.1,57,0,3.1,7.2,14.8
20,24.8,32,16.4,1005,56,0,2.4,6.3,14.8
21,20.9,32.4,15.7,1008.2,74,0,1.9,12,24.1
25,21.4,28,13.5,1013.6,47,0,3.1,18.5,35.2
26,20.4,28.1,12.4,1012.5,55,0,2.6,16.1,29.4
27,21.2,29,11,1014.2,52,0,3.2,8,16.5
