Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,32.2,38.1,23.1,1007.2,35,0,3.7,5.7,13
2,32.3,39.6,22,1006.8,37,0,3.2,4.4,13
3,32.6,40,24.4,1006.6,35,-,2.3,7.4,18.3
7,36.6,44,25.3,1003.7,27,0,3.4,8,18.3
8,36.6,44.1,27.6,1002.7,30,0,2.6,3.5,9.4
9,35.6,42.8,28,1001.5,36,0,3.2,10.7,20.6
13,36,41.8,27.5,1002,35,0,2.7,6.7,18.3
14,37.2,43,27.8,999.8,28,0,3.1,6.7,14.8
15,37.9,44,28.1,998.3,24,0,3.2,10.2,22.2
19,32.3,40.2,27.4,1001.4,45,-,3.2,6.5,18.3
20,34,41.4,28.4,1000,38,0,3.4,5.4,22.2
21,31.2,39,24,1001.5,45,-,2.1,9.8,22.2
25,36.4,41.6,28.5,999.1,36,0,3.4,4.3,11.1
26,37.8,44,29,997.3,33,0,3.1,8.3,22.2
27,35.3,43.9,29.3,998,46,0,3.9,13.3,18.3
31,29.4,37,26,1000.2,69,-,2.9,9.4,20.6
