Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,32.8,39,23.2,1004.7,36,0,3.2,11.1,22.2
2,31.7,39.4,23,1004.2,34,0,3.5,10.7,25.9
3,32.8,39,21.4,1004.9,30,0,3.7,10.7,22.2
7,28.8,38,19.2,1008,32,0,1.9,5.9,18.3
8,27.5,34.4,16.5,1010.8,28,0,2.7,10,20.6
9,27.3,33.6,19,1010.8,29,0,3.9,13.3,25.9
13,31.6,40,19.9,1006.3,27,0,2.9,5.6,11.1
14,32.4,40.5,20.7,1004.5,33,0,2.3,2.6,9.4
15,33,40.6,22,1002.1,29,0,3.2,8.5,24.1
19,-,-,-,-,-,-,-,-,-
20,-,-,-,-,-,-,-,-,-
21,34.9,43.2,28.9,999.7,45,0,2.7,9.1,21.7
22,33.5,40.2,28.5,1001.9,49,0,2.3,8.5,22.2
23,33.9,40,26.8,1001.9,31,0,3.2,11.1,22.2
27,32.6,38.2,22.5,1006.3,33,0,2.7,11.9,51.9
28,32.2,38.5,24,1004.8,37,0,2.9,13.3,39.6
29,32.1,39,24,1005.4,40,0,3.1,5.9,20.6
