Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,32.9,37,24.9,1000.7,52,0,2.4,5,14.8
2,34.9,40,26,999.4,38,0,2.6,6.7,13
3,37.3,42.5,28.7,996.6,32,0,3.4,12.2,35.2
7,31.7,43,26,1003.5,51,-,3.2,14.3,37
8,30.3,37.2,25,1002.1,62,-,3.5,8.9,18.3
9,32.9,37,26.4,1000.6,53,0,2.7,4.8,13
13,36.6,42,28.1,997.5,33,0,3.5,13.3,29.4
14,36.1,42,29,1000.4,37,0,2.9,12.8,43.2
15,34.7,41.6,28.6,998.9,39,0,3.1,11.3,22.2
19,30.2,37,24,998,72,-,3.2,10.2,27.8
20,27.6,37.4,23.2,998.3,79,-,2.6,5.6,14.8
21,27.7,32.2,23.7,999,85,-,2.4,6.7,13
25,35.7,39,30,997.7,58,0,3.1,6.7,13
26,35.2,39.4,30.4,998.9,62,0,3.4,7.6,18.3
27,35.6,39,30.5,998.5,59,0,3.4,9.4,18.3
