Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,30.3,34.5,25.4,995.6,84,0,2.4,3.3,9.4
2,28.1,35.1,26,996.9,91,-,1.9,6.5,14.8
3,32,37,26.7,996.5,75,0,2.3,3.7,9.4
7,31.3,35.8,25.2,1000.4,74,0,2.7,3.9,11.1
8,31.9,36.5,28.2,999.1,72,0,2.4,6.3,13
9,34.4,37.6,29.6,998.6,58,0,2.9,7.4,14.8
13,31.1,35,27,999.4,69,0,3.2,7.8,14.8
14,33.2,36.5,28.4,999.6,64,0,3.7,9.6,18.3
15,31.6,36.4,28.4,1000.2,76,-,3.2,6.1,14.8
19,34.1,38,28,997.6,64,-,2.7,5,18.3
20,29.2,38.4,25,998,84,-,2.3,6.9,18.3
21,32.5,36,28,997.5,70,0,3.1,10,18.3
25,29.6,33.4,26.6,997.3,84,-,2.4,9.3,16.5
26,31.6,35,26.4,999.1,74,0,3.2,8.9,13
27,32.2,35,28.6,1000.7,69,0,3.7,9.3,16.5
31,28.3,34.1,27,1001.1,89,-,2.1,4.6,18.3
