Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,28.7,33,25.5,1002.6,81,-,2.3,9.4,22.2
2,28.2,32.6,26,1002.8,78,-,2.7,9.8,22.2
3,30.7,35,25.2,1003.9,70,0,3.4,8.1,18.3
7,28.9,36.1,24.2,1005.5,76,0,2.9,6.7,13
8,31.2,35,26.5,1005.5,67,0,2.7,5.7,13
9,31.6,35.1,26.8,1003.9,65,0,3.1,6.7,11.1
13,32.2,36.2,27,1006.2,63,0,2.9,4.6,11.1
14,32.1,36.6,27.5,1005.6,67,0,2.4,3,7.6
15,32.7,36.1,27,1005.1,53,0,2.9,6.7,14.8
19,31.6,36,25.6,1002.8,59,0,2.6,1.1,7.6
20,31.6,37,25,1002.9,57,0,2.7,3,11.1
21,30.7,36.9,24.8,1002.7,69,0,2.9,6.9,11.1
25,30.2,35,23.8,1004.5,67,0,3.1,8.9,14.8
26,30.4,35.1,25,1005.7,66,0,3.4,5.7,18.3
27,30.8,36,23.8,1005.9,58,0,3.1,2.6,11.1
