Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,24.7,32.5,18,1012.1,49,0,2.6,5,11.1
2,22.8,30.5,16.5,1011.1,59,0,1.9,4.4,11.1
3,21.3,28.5,12.5,1010.6,41,0,3.1,8.3,22.2
7,23.4,30,12,1008.3,41,0,2.6,5.9,14.8
8,22.8,30.7,17.6,1008,54,-,2.9,12,22.2
9,20.7,28.2,14.6,1007.6,67,-,2.6,8.1,18.3
13,18.4,24,9,1015.3,49,0,3.2,9.1,20.6
14,19.6,26,9.1,1016.4,50,0,2.7,6.5,22.2
15,21.4,28,10.5,1013.7,50,0,2.4,8.5,22.2
19,23.6,30,15.6,1011.7,57,0,2.6,7.6,18.3
20,24.2,30,15.4,1012.2,53,0,2.7,11.3,24.1
21,26.6,34,16.2,1011.6,47,0,2.9,10.9,22.2
25,27.8,35,17.7,1010.4,41,0,3.4,12.8,27.8
26,29.1,35,20.8,1009.8,38,0,3.2,16.1,35.2
27,30.6,37,21.8,1009.5,41,0,3.1,13.1,27.8
31,31.2,38.5,23.3,1007.5,41,0,2.9,8.3,18.3
