Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,32.3,36.5,28.6,996.3,71,0,1.9,9.3,16.5
2,33.3,38.2,28.9,996.3,68,0,2.6,10.9,18.3
3,30.9,38.2,28.8,997.9,74,0,2.3,8.5,14.8
7,31.8,35.2,27.6,996.6,73,0.25,1.9,10,16.5
8,31.3,35.3,27.8,997.4,72,0,1.9,13.7,22.2
9,30.7,34.8,27.9,997.2,71,-,2.6,15.6,22.2
13,29.8,35.7,25.4,999.2,77,9.91,1.9,10,13
14,28.2,35.7,25.6,1000.1,80,0,1.9,18.3,22.2
15,26.8,28.1,25.1,997.4,94,28.96,1.8,10,18.3
19,28.3,34.8,26.4,1002.4,83,0,1.9,6.3,22.2
20,29.6,34.3,25.7,1004.3,79,11.94,1.9,9.6,14.8
21,31.3,35.5,27,1003.5,72,0,1.9,4.4,7.6
25,30,34.4,25.6,1003.1,81,5.08,1.9,2.6,9.4
26,29,34.4,25.7,1003,87,10.92,1.9,1.1,9.4
27,29.4,32.7,26.7,1002.5,83,0.25,1.9,3.7,14.8
31,31.7,36.1,27.6,1001.7,72,0,3.1,8.7,16.5
