Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,14.7,22.1,8.1,1017.1,65,0,1.4,8.3,22.2
2,16.6,24.1,8.6,1017,61,0,1.6,5.4,18.3
3,17.1,26,9.3,1016.7,67,0,1.1,3.1,9.4
7,21.1,26.2,14.6,1008.9,69,0,1.4,4.4,9.4
8,16.8,23.8,11.7,1011.6,70,6.1,1.4,8.5,16.5
9,15.8,23.8,9.3,1011.6,59,0,2.6,11.1,25.9
13,20.1,28.8,13.6,1009.2,67,0,1.6,3.5,9.4
14,18.2,22.2,15.6,1010,78,0,1.9,10.4,14.8
15,16,22.2,14,1010.9,95,6.1,1.6,6.9,16.5
19,16.6,23.8,10,1016.2,63,0,1.4,3.7,11.1
20,16.2,26.4,10.3,1017.2,75,13.97,2.1,5,11.1
21,15.6,26.4,9.6,1018.1,79,0,1.8,6.7,18.3
25,17.3,25.5,11.5,1012.3,72,-,1.4,5,16.5
26,16.6,22.6,12.1,1015.2,79,9.91,1.4,2.8,7.6
27,17.1,24.3,10.2,1018.7,61,0,1.8,6.7,14.8
