Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,30.7,36.7,24.4,999.8,54,0,1.9,18.5,33.5
2,30.2,36.8,22.8,1003.3,51,0,1.9,8.1,18.3
3,32.1,39.4,24.5,1002.5,46,0,1.9,4.8,11.1
7,35.8,43.6,29.6,997.3,41,0,1.9,12,22.2
8,33.6,38.8,27.4,997.5,49,0,1.6,15.6,18.3
9,-,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,-,-,-
11,-,-,-,-,-,-,-,-,-
12,-,-,-,-,-,-,-,-,-
13,-,-,-,-,-,-,-,-,-
14,33.9,41.8,24.4,996.2,53,-,2.3,11.9,33.5
18,30.7,37.5,25.6,996,71,12.95,1.9,5,11.1
19,31,38.4,24.5,995,66,11.94,1.9,4.6,11.1
20,32.4,38.4,27.3,996.6,64,0,1.9,3.9,11.1
24,34.6,38.7,30,994,61,0,1.9,3.3,7.6
25,32.5,36.3,30,994.2,71,0.51,1.9,7.2,13
26,28.3,30.7,25.9,996.5,85,2.03,1.8,5,16.5
30,29.8,34.3,26.7,996.5,76,2.03,1.9,11.1,18.3
