Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,17.4,26.5,10.1,1014.5,75,0,1.3,1.5,7.6
2,19.1,27.6,12.6,1013,79,0,0.8,0,-
3,19.7,27.6,14.2,1009.8,73,0,1.1,4.4,18.3
7,19.6,27.4,14.5,1014.3,79,0,1.1,4.3,11.1
8,21.2,29.2,14.4,1013,73,0,1.4,5.6,11.1
9,18.6,29.2,16.4,1013.9,88,0,0.6,4.6,14.8
13,13.7,23.1,6.9,1017.7,65,0,1.4,4.6,18.3
14,13.3,22.4,6.4,1017.6,60,0,1.4,5.4,14.8
15,12.7,22.4,5.9,1017.7,65,0,1.3,3.9,9.4
19,11.6,23,5,1017.8,81,0,0.3,0.9,7.6
20,12.2,20.4,4.8,1017.1,80,0,1,4.4,11.1
21,13,23,6.8,1017.8,71,0,1.1,0.4,3.5
25,10.3,20.3,2.9,1016.2,62,0,1.3,3.1,13
26,10.6,20.8,3.4,1016.2,69,0,0.6,0.2,1.9
27,11.2,21.6,4.1,1016.7,75,0,0.3,0.7,5.4
31,15.1,23.3,6.8,1017.3,78,0,0.8,2.2,7.6
