Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,16.5,22.3,11.3,1015.1,69,-,1.9,6.5,22.2
2,18,24.6,13.8,1013.3,78,0,1.1,1.3,5.4
3,17.3,20.7,14,1013.5,91,2.03,1,1.3,3.5
7,20.9,28.2,13.8,1015.3,52,0,1.9,11.3,18.3
8,20.8,27.8,15.1,1011.4,61,0,1.9,7.8,16.5
9,20.8,27.6,15.9,1011.8,59,0,2.7,8.3,22.2
13,21.5,29.8,13.2,1011.1,54,0,2.1,5.6,16.5
14,22.9,30.6,14.1,1010.6,58,0,1.8,6.9,18.3
15,24.1,33.1,15.8,1011.9,61,0,1.4,2.6,9.4
19,26.5,35.4,19.3,1001.6,52,0,1.6,1.7,7.6
20,26.1,33.3,19.8,1003,39,0,2.3,9.1,16.5
21,23.1,29.3,17.6,1007.9,50,0,1.6,8.9,24.1
25,25.4,33,19.1,1009.4,50,0,1.6,7,14.8
26,26.2,34.4,18.8,1009.1,47,0,2.4,9.3,25.9
27,27.4,35.6,19.1,1007.2,45,0,2.3,6.9,14.8
31,26.6,33.4,19.2,1008.3,41,0,2.1,10,22.2
