Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,22.5,32.6,15.4,1011.6,59,0,1.4,2.8,11.1
2,23.2,32.6,15.6,1010.6,55,0,1.9,3.1,11.1
3,22.7,32.4,15.9,1010.7,58,0,1.8,3.1,11.1
7,21.3,29.9,15.1,1013.1,66,0,1.4,0.9,7.6
8,21.4,30.7,14.2,1013.8,62,0,1.1,1.9,14.8
9,23.5,30.7,15.2,1012.8,60,0,1.3,2.4,11.1
13,21.1,30.4,14.5,1013.9,67,0,1.4,1.7,9.4
14,21.1,30.4,14.2,1014.6,67,0,1.6,2,9.4
15,21.1,29.6,14.3,1014.5,67,0,1.4,2.4,11.1
19,20.3,27.5,15.1,1014.5,83,0,1,0.9,3.5
20,19.8,27.7,14.6,1016.6,86,0,0.6,1.9,7.6
21,20.7,27.8,14.8,1017.5,84,0,0.5,0.7,5.4
25,19,28,12.7,1015.6,76,0,1.1,2,11.1
26,18.6,27.4,12.4,1014.8,74,0,1.1,1.1,9.4
27,18,27.4,12.7,1014.5,74,0,1.1,1.1,9.4
