Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,27,33.6,19.4,1007.9,42,0,2.3,5.4,14.8
2,26.8,34.2,21.6,1008.5,41,0,1.9,8.3,16.5
3,26.2,34.2,20,1010.3,37,0,1.9,10.9,18.3
7,25.7,35,18.6,1010.8,43,0,1.8,5.4,16.5
8,25.6,33,18.2,1010.5,37,0,1.9,7.6,48.2
9,27.1,34.3,18,1011,39,0,2.6,4.3,13
13,27.8,34.1,20.4,1009.1,45,0,2.3,4.4,11.1
14,27.9,35.6,20.5,1007.2,46,0,1.8,2,7.6
15,29.5,35.6,21.8,1006.1,42,0,1.8,3.1,7.6
19,27.6,34.8,19.6,1006.8,39,0,1.9,5.7,16.5
20,27.6,34.9,18.6,1007.3,42,0,1.9,5.2,13
21,28.5,36,19.2,1007.5,33,0,1.8,9.3,33.5
25,31.8,40.5,22.9,1003.4,38,0,1.4,3,11.1
26,30.2,40.5,25,1006.4,43,0,1.1,14.1,22.2
27,29.4,37.2,23.6,1005,52,0,1.4,7.2,18.3
