Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,11.5,16.7,8.4,1015.7,82,0,1.3,13.5,22.2
2,10.8,14.6,7.8,1016,81,0,1,11.1,18.3
3,9.7,14.7,6,1018.8,86,0,0.6,3.7,13
7,9.2,15.6,4.3,1016.7,83,0,0.5,3,7.6
8,7.6,15.6,4.3,1015.3,91,0,0.2,4.6,11.1
9,7.8,11,5,1016.9,91,0,0.3,8.7,13
13,13.9,24.6,5.3,1012.7,77,0,0.5,0.9,3.5
14,16.4,24.3,9.3,1011.3,75,0,0.8,3.1,11.1
15,14.8,24.3,10,1014.1,60,0,1.6,13.5,27.8
19,12.9,22.7,6.1,1013.4,61,0,1.6,9.4,22.2
20,13.1,21.2,6.5,1016.5,61,0,1.4,4.4,14.8
21,14.3,23.5,6.1,1015.9,64,0,1.4,3.5,14.8
25,14.4,23,6,1017.9,67,0,1,0,-
26,14.3,23,7.2,1020.6,61,0,1.8,3,9.4
27,12.8,22.6,7,1019.4,72,0,1.1,6.1,14.8
31,15,22.4,8.2,1018.2,67,0,1.3,6.1,14.8
