Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,28.3,34.7,23.4,1005.6,61,0,1.9,11.7,24.1
2,28.3,34.8,23,1005.3,59,0,2.6,12.4,33.5
3,28.5,34.5,23.7,1005.8,61,0,2.7,7.8,22.2
7,27.9,34.7,23,1010.1,66,0,2.6,5.7,22.2
8,28.2,34.7,23.3,1010.4,70,0,2.6,3.9,11.1
9,27.4,34.1,23.2,1011,70,0,1.9,4.8,11.1
13,27.2,34.6,21.2,1009.1,63,0,1.9,6.1,20.6
14,27.9,35.1,22.2,1008.3,57,0,2.6,6.5,14.8
15,26.4,35.1,21,1008,60,0,2.6,5.2,14.8
19,24.7,33,18.6,1007.9,63,0,1.6,3,18.3
20,25,33.6,17.6,1008.1,69,0,1.3,0,-
21,24.7,33.6,19,1009.8,74,0,1,0,-
25,23.5,32.8,17.6,1011.8,62,0,1.6,0.4,3.5
26,22.9,31.2,17.5,1013.6,59,0,1.1,2.8,11.1
27,22.4,30,16.7,1013.4,51,0,1.6,7.2,18.3
31,21.8,31.6,15.9,1011.7,66,0,1.1,0.7,5.4
