Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,25,31,15,1015.7,59,0,1.9,1.7,5.4
2,24.9,32.4,15.2,1015,57,0,1.9,1.7,9.4
3,26.8,33.4,15.7,1014.5,52,0,2.4,4.6,9.4
7,23.7,29.1,15.8,1011.9,67,0,2.1,5.2,11.1
8,23.4,29.1,17,1011.4,63,0,2.1,6.7,16.5
9,24.3,29,15.6,1011.7,56,0,1.9,10,18.3
13,24.3,31,16.8,1010.8,66,0,3.4,6.9,14.8
14,22.4,29.5,17.1,1014.1,68,-,3.4,6.3,16.5
15,24.1,29.2,14.5,1014.4,59,0,2.4,8.5,18.3
19,26.8,33,19,1008.8,61,0,2.3,3.5,11.1
20,27.1,33,19,1009.9,61,0,2.6,2.8,13
21,26.5,32.8,19.5,1010.5,45,0,2.9,12.2,25.9
25,29.8,36.2,18.2,1012.7,52,0,2.4,3.3,7.6
26,24.7,36.6,19.7,1012.8,66,0,2.4,9.4,14.8
27,26.2,32,19.5,1012.5,56,0,3.1,9.1,14.8
31,29.9,37,19.5,1008.3,39,0,2.7,4.4,9.4
