Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,31.9,36,26.5,1007.2,66,0,2.3,2.4,7.6
2,32.4,36.4,27.5,1007.8,65,0,3.1,3.5,11.1
3,32.7,36.1,27.7,-,64,0,2.6,3.3,7.6
7,30.3,35,24.7,1007.3,62,0,2.3,7.6,18.3
8,29.9,35,23,1006.3,60,0,2.6,6.7,24.1
9,30,36,22.5,1004.9,63,0,2.6,3,7.6
13,28.6,35,19.8,1008.2,49,0,3.7,11.5,22.2
14,28.3,35.2,19,1009.4,53,0,3.4,9.1,35.9
15,26.8,35.2,17.5,1010.4,57,0,2.6,5.7,13
19,27.6,35,17.6,1007.6,53,0,3.1,5.9,13
20,27.7,35,18.6,1006.9,52,0,3.1,7.8,28.7
21,27.3,35,19,1007.8,55,0,3.2,7.2,27.8
25,27.2,34.5,19.5,1009,58,0,3.1,11.1,25.9
26,26.4,33,18.4,1012.4,60,0,2.6,4.6,14.8
27,25.4,33.4,16.5,1014.3,62,0,1.6,5,14.8
31,23.7,31.7,15.5,1017.7,69,0,1,1.3,5.4
