Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,15.9,22.4,8.4,1017.6,66,0,2.4,7.2,16.5
2,15.2,22.6,6.6,1018.2,56,0,1.9,8.9,22.2
3,12.7,19.5,8,1017.6,69,0,1.3,8.3,18.3
7,15.6,24.6,10.7,1015.7,81,0,1.3,2.8,9.4
8,17.1,23.2,9,1017.1,69,0,1.8,5.9,11.1
9,17.6,24,10.1,1014.8,67,0,1.4,5.9,14.8
13,17.2,26,11.5,1014.7,65,0,2.3,5.7,14.8
14,17.7,24.4,9.7,1017,64,0,2.1,8,18.3
15,17.4,24.4,10.1,1018.9,61,0,2.3,6.1,11.1
19,23.1,30,15.6,1014.9,71,-,1.4,4.1,9.4
20,23.7,29.8,18.7,1014,75,-,1.4,11.1,18.3
21,20.9,27.8,15.8,1014.4,62,0,2.6,17.2,27.8
25,22.6,30.3,11.5,1015.4,57,0,2.4,5.4,11.1
26,22.7,30.4,12.8,1017.7,56,0,2.6,2.4,7.6
27,22.7,30.6,13,1018.4,58,0,2.4,3.3,7.6
