Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,16.9,25.1,6.6,1021.3,65,0,1.1,2,7.6
2,15.5,24.1,7.7,1021,71,0,1.1,3.5,11.1
3,14.9,22.8,8,1018.4,73,0,1.1,5.9,13
7,18.3,24.7,11.5,1018.1,85,0,0.5,1.1,7.6
8,16.5,24.7,12,1017.4,82,0,0.6,8,13
9,16.6,22.2,10.2,1015.4,65,0,1.8,10,20.6
13,18.2,25.1,12,1014.4,77,-,0.6,5,11.1
14,15.6,23.2,10.9,1015.6,82,0,0.6,4.3,9.4
15,13,19,9.6,1016.9,85,0,0.8,10.7,16.5
19,12.3,19,8.9,1015.8,91,0,0.5,4.6,9.4
20,11.9,15.7,7.5,1018.9,86,0,0.8,6.1,11.1
21,12,17,6.7,1019.8,75,0,1.3,7.6,13
25,11.7,18,6.4,1017.3,76,0,0.8,4.4,13
26,14.6,21,6.8,1015.6,81,0,0.6,2.4,7.6
27,17.7,24,9,1014.5,69,0,1.4,4.4,9.4
31,17.4,27.2,12.2,1016.4,79,0,1.1,7.8,18.3
