Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,32.2,39.8,25.4,995.4,73,-,2.3,8.3,14.8
2,28.4,36.6,24.4,998.1,82,0,2.4,5.2,9.4
3,29.6,32,25.7,997.6,80,-,2.3,2,7.6
7,33.6,36.7,28.8,996.7,66,0,5.8,5.9,11.1
8,30.7,36.9,28.8,996.8,78,-,2.3,5.4,27.8
9,33.3,37,27.8,996.2,68,0,2.6,6.7,11.1
13,31.1,34.2,27.8,997.8,78,-,2.6,6.9,24.1
14,30.4,35.4,26.7,997.8,82,-,2.1,5.2,14.8
15,31,35.2,26,997.9,80,-,2.4,7.2,18.3
19,32.4,35.2,26.2,999,72,0,2.9,13.5,25.9
20,34.1,37,28.5,998.5,63,0,3.2,13,22.2
21,34.1,37.2,29,998.4,61,0,2.6,11.5,22.2
25,31.9,35,28.3,1001.3,72,0,2.1,2.8,9.4
26,30.3,35,27.6,1002.6,83,5.08,2.3,6.5,16.5
27,28.3,35.8,26.8,1003.9,89,-,1.6,4.3,11.1
31,29.2,31,26,1000,85,0,1.8,4.6,13
