Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,31.9,40.6,26.7,1002,61,0,1.9,13.5,20.6
2,32.4,38.5,26.6,1001,63,0,2.3,13.3,22.2
3,34.1,40.3,28.8,999.7,59,0,1.9,10.9,16.5
7,34.1,43.2,25.7,997.9,57,14.99,1.9,7.4,14.8
8,34.2,39.8,29.1,996.7,64,0,1.9,13.7,18.3
9,35.1,40.2,30.2,995.2,52,0,1.9,8.5,14.8
13,30.3,39.2,28.8,998.6,75,0,1.9,10.2,22.2
14,30.4,38.6,27.8,997.7,73,11.94,1.9,8,22.2
15,29.8,38.6,24.6,997.9,71,6.1,2.3,12.6,16.5
19,29.7,35.5,24.8,999,76,5.08,1.9,4.3,14.8
20,33,38.4,25.3,997.6,58,0,1.8,4.8,13
21,35.6,41,27.3,995.5,49,0,1.9,7.4,18.3
25,31,39.4,27.8,999.2,74,0,1.9,11.5,18.3
26,31.2,35.7,27.2,998.4,75,0,1.9,6.3,14.8
27,31.2,37.1,27.6,996.8,71,2.03,1.9,8.1,20.6
