Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,29.1,34,23.8,1007.8,72,4.06,1.9,6.5,13
2,28.9,34.9,25.6,1009.5,68,0,2.6,7.6,13
3,27.9,33.7,23.2,1008.4,67,0,2.6,10,14.8
7,29.4,34.5,24.3,1009.1,73,0,1.8,1.3,3.5
8,30.1,34.5,24.8,1010,72,0,1.8,1.5,7.6
9,30.1,35.6,24.8,1010.5,72,0,2.1,4.6,11.1
13,27.4,33.1,22.8,1008,85,0,1.6,0.4,3.5
14,27.5,32.5,23,1007.1,80,1.02,1.8,6.1,18.3
15,26.6,32.6,21.1,1008.8,76,0,1.6,3.3,11.1
19,25.6,33.2,19.5,1011.5,67,0,1.4,3.7,14.8
20,25,32.8,17.6,1010.8,69,0,1.4,1.1,5.4
21,24.8,32.3,17.3,1009.7,68,0,1.4,1.5,7.6
25,24.1,30,17.5,1011.2,74,0,1,1.5,9.4
26,24.3,31.4,18.5,1011.2,72,0,1.1,0.4,3.5
27,23,31,18,1010.6,71,0,0.8,2.6,9.4
31,24.1,30.1,16.7,1014,62,0,1.4,3.3,11.1
